Family,Action / Sub-line,Topic ID 2026,Manager,Amount (EUR),Amount Type,Duration,EU Funding Rate,Deadline 2027 (speculative),Practical Implication / Notes
Capacity Building HE (CBHE),Region 2 Neighbourhood East - Strand 3 (max),ERASMUS-EDU-2027-CBHE-NE,EACEA,"1,000,000 €",Max budget-based,36-48 months,90%,10 February 2027 (speculative),Strand 3 (Structural Reform). Region 2. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 3 South-Mediterranean Countries - Strand 1 (min),ERASMUS-EDU-2027-CBHE-SMC,EACEA,"200,000 €",Min budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 1 (Fostering access). Region 3. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 3 South-Mediterranean Countries - Strand 1 (max),ERASMUS-EDU-2027-CBHE-SMC,EACEA,"400,000 €",Max budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 1 (Fostering access). Region 3. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 3 South-Mediterranean Countries - Strand 2 (min),ERASMUS-EDU-2027-CBHE-SMC,EACEA,"400,000 €",Min budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 2 (Partnerships for transformation). Region 3. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 3 South-Mediterranean Countries - Strand 2 (max),ERASMUS-EDU-2027-CBHE-SMC,EACEA,"800,000 €",Max budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 2 (Partnerships for transformation). Region 3. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 3 South-Mediterranean Countries - Strand 3 (min),ERASMUS-EDU-2027-CBHE-SMC,EACEA,"600,000 €",Min budget-based,36-48 months,90%,10 February 2027 (speculative),Strand 3 (Structural Reform). Region 3. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 3 South-Mediterranean Countries - Strand 3 (max),ERASMUS-EDU-2027-CBHE-SMC,EACEA,"1,000,000 €",Max budget-based,36-48 months,90%,10 February 2027 (speculative),Strand 3 (Structural Reform). Region 3. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 5a Asia - Strand 1 (min),ERASMUS-EDU-2027-CBHE-ASIA,EACEA,"200,000 €",Min budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 1 (Fostering access). Region 5a. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 5a Asia - Strand 1 (max),ERASMUS-EDU-2027-CBHE-ASIA,EACEA,"400,000 €",Max budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 1 (Fostering access). Region 5a. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 5a Asia - Strand 2 (min),ERASMUS-EDU-2027-CBHE-ASIA,EACEA,"400,000 €",Min budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 2 (Partnerships for transformation). Region 5a. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 5a Asia - Strand 2 (max),ERASMUS-EDU-2027-CBHE-ASIA,EACEA,"800,000 €",Max budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 2 (Partnerships for transformation). Region 5a. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 5a Asia - Strand 3 (min),ERASMUS-EDU-2027-CBHE-ASIA,EACEA,"600,000 €",Min budget-based,36-48 months,90%,10 February 2027 (speculative),Strand 3 (Structural Reform). Region 5a. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 5a Asia - Strand 3 (max),ERASMUS-EDU-2027-CBHE-ASIA,EACEA,"1,000,000 €",Max budget-based,36-48 months,90%,10 February 2027 (speculative),Strand 3 (Structural Reform). Region 5a. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 6 Central Asia - Strand 1 (min),ERASMUS-EDU-2027-CBHE-CA,EACEA,"200,000 €",Min budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 1 (Fostering access). Region 6. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 6 Central Asia - Strand 1 (max),ERASMUS-EDU-2027-CBHE-CA,EACEA,"400,000 €",Max budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 1 (Fostering access). Region 6. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 6 Central Asia - Strand 2 (min),ERASMUS-EDU-2027-CBHE-CA,EACEA,"400,000 €",Min budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 2 (Partnerships for transformation). Region 6. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 6 Central Asia - Strand 2 (max),ERASMUS-EDU-2027-CBHE-CA,EACEA,"800,000 €",Max budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 2 (Partnerships for transformation). Region 6. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 6 Central Asia - Strand 3 (min),ERASMUS-EDU-2027-CBHE-CA,EACEA,"600,000 €",Min budget-based,36-48 months,90%,10 February 2027 (speculative),Strand 3 (Structural Reform). Region 6. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 6 Central Asia - Strand 3 (max),ERASMUS-EDU-2027-CBHE-CA,EACEA,"1,000,000 €",Max budget-based,36-48 months,90%,10 February 2027 (speculative),Strand 3 (Structural Reform). Region 6. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 7a Middle East - Strand 1 (min),ERASMUS-EDU-2027-CBHE-ME,EACEA,"200,000 €",Min budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 1 (Fostering access). Region 7a. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 7a Middle East - Strand 1 (max),ERASMUS-EDU-2027-CBHE-ME,EACEA,"400,000 €",Max budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 1 (Fostering access). Region 7a. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 7a Middle East - Strand 2 (min),ERASMUS-EDU-2027-CBHE-ME,EACEA,"400,000 €",Min budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 2 (Partnerships for transformation). Region 7a. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 7a Middle East - Strand 2 (max),ERASMUS-EDU-2027-CBHE-ME,EACEA,"800,000 €",Max budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 2 (Partnerships for transformation). Region 7a. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 7a Middle East - Strand 3 (min),ERASMUS-EDU-2027-CBHE-ME,EACEA,"600,000 €",Min budget-based,36-48 months,90%,10 February 2027 (speculative),Strand 3 (Structural Reform). Region 7a. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 7a Middle East - Strand 3 (max),ERASMUS-EDU-2027-CBHE-ME,EACEA,"1,000,000 €",Max budget-based,36-48 months,90%,10 February 2027 (speculative),Strand 3 (Structural Reform). Region 7a. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 8a Pacific - Strand 1 (min),ERASMUS-EDU-2027-CBHE-PAC,EACEA,"200,000 €",Min budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 1 (Fostering access). Region 8a. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 8a Pacific - Strand 1 (max),ERASMUS-EDU-2027-CBHE-PAC,EACEA,"400,000 €",Max budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 1 (Fostering access). Region 8a. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 8a Pacific - Strand 2 (min),ERASMUS-EDU-2027-CBHE-PAC,EACEA,"400,000 €",Min budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 2 (Partnerships for transformation). Region 8a. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 8a Pacific - Strand 2 (max),ERASMUS-EDU-2027-CBHE-PAC,EACEA,"800,000 €",Max budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 2 (Partnerships for transformation). Region 8a. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 8a Pacific - Strand 3 (min),ERASMUS-EDU-2027-CBHE-PAC,EACEA,"600,000 €",Min budget-based,36-48 months,90%,10 February 2027 (speculative),Strand 3 (Structural Reform). Region 8a. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 8a Pacific - Strand 3 (max),ERASMUS-EDU-2027-CBHE-PAC,EACEA,"1,000,000 €",Max budget-based,36-48 months,90%,10 February 2027 (speculative),Strand 3 (Structural Reform). Region 8a. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 9 Sub-Saharan Africa - Strand 1 (min),ERASMUS-EDU-2027-CBHE-SSA,EACEA,"200,000 €",Min budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 1 (Fostering access). Region 9. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 9 Sub-Saharan Africa - Strand 1 (max),ERASMUS-EDU-2027-CBHE-SSA,EACEA,"400,000 €",Max budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 1 (Fostering access). Region 9. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 9 Sub-Saharan Africa - Strand 2 (min),ERASMUS-EDU-2027-CBHE-SSA,EACEA,"400,000 €",Min budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 2 (Partnerships for transformation). Region 9. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 9 Sub-Saharan Africa - Strand 2 (max),ERASMUS-EDU-2027-CBHE-SSA,EACEA,"800,000 €",Max budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 2 (Partnerships for transformation). Region 9. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 9 Sub-Saharan Africa - Strand 3 (min),ERASMUS-EDU-2027-CBHE-SSA,EACEA,"600,000 €",Min budget-based,36-48 months,90%,10 February 2027 (speculative),Strand 3 (Structural Reform). Region 9. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 9 Sub-Saharan Africa - Strand 3 (max),ERASMUS-EDU-2027-CBHE-SSA,EACEA,"1,000,000 €",Max budget-based,36-48 months,90%,10 February 2027 (speculative),Strand 3 (Structural Reform). Region 9. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 10 Latin America - Strand 1 (min),ERASMUS-EDU-2027-CBHE-LA,EACEA,"200,000 €",Min budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 1 (Fostering access). Region 10. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 10 Latin America - Strand 1 (max),ERASMUS-EDU-2027-CBHE-LA,EACEA,"400,000 €",Max budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 1 (Fostering access). Region 10. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 10 Latin America - Strand 2 (min),ERASMUS-EDU-2027-CBHE-LA,EACEA,"400,000 €",Min budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 2 (Partnerships for transformation). Region 10. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 10 Latin America - Strand 2 (max),ERASMUS-EDU-2027-CBHE-LA,EACEA,"800,000 €",Max budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 2 (Partnerships for transformation). Region 10. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 10 Latin America - Strand 3 (min),ERASMUS-EDU-2027-CBHE-LA,EACEA,"600,000 €",Min budget-based,36-48 months,90%,10 February 2027 (speculative),Strand 3 (Structural Reform). Region 10. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 10 Latin America - Strand 3 (max),ERASMUS-EDU-2027-CBHE-LA,EACEA,"1,000,000 €",Max budget-based,36-48 months,90%,10 February 2027 (speculative),Strand 3 (Structural Reform). Region 10. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 11 Caribbean - Strand 1 (min),ERASMUS-EDU-2027-CBHE-CARIB,EACEA,"200,000 €",Min budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 1 (Fostering access). Region 11. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 11 Caribbean - Strand 1 (max),ERASMUS-EDU-2027-CBHE-CARIB,EACEA,"400,000 €",Max budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 1 (Fostering access). Region 11. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 11 Caribbean - Strand 2 (min),ERASMUS-EDU-2027-CBHE-CARIB,EACEA,"400,000 €",Min budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 2 (Partnerships for transformation). Region 11. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 11 Caribbean - Strand 2 (max),ERASMUS-EDU-2027-CBHE-CARIB,EACEA,"800,000 €",Max budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 2 (Partnerships for transformation). Region 11. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 11 Caribbean - Strand 3 (min),ERASMUS-EDU-2027-CBHE-CARIB,EACEA,"600,000 €",Min budget-based,36-48 months,90%,10 February 2027 (speculative),Strand 3 (Structural Reform). Region 11. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 11 Caribbean - Strand 3 (max),ERASMUS-EDU-2027-CBHE-CARIB,EACEA,"1,000,000 €",Max budget-based,36-48 months,90%,10 February 2027 (speculative),Strand 3 (Structural Reform). Region 11. ONLY action with 90% rate.
Capacity Building HE (CBHE),Cross-Regional - Strand 1 (min),ERASMUS-EDU-2027-CBHE-CROSS-REGIONAL,EACEA,"200,000 €",Min budget-based,24-36 months,90%,10 February 2027 (speculative),Cross-Regional panel (multi-region projects). Indicatively 10% of total CBHE budget.
Capacity Building HE (CBHE),Cross-Regional - Strand 1 (max),ERASMUS-EDU-2027-CBHE-CROSS-REGIONAL,EACEA,"400,000 €",Max budget-based,24-36 months,90%,10 February 2027 (speculative),Cross-Regional panel (multi-region projects). Indicatively 10% of total CBHE budget.
Capacity Building HE (CBHE),Cross-Regional - Strand 2 (min),ERASMUS-EDU-2027-CBHE-CROSS-REGIONAL,EACEA,"400,000 €",Min budget-based,24-36 months,90%,10 February 2027 (speculative),Cross-Regional panel (multi-region projects). Indicatively 10% of total CBHE budget.
Capacity Building HE (CBHE),Cross-Regional - Strand 2 (max),ERASMUS-EDU-2027-CBHE-CROSS-REGIONAL,EACEA,"800,000 €",Max budget-based,24-36 months,90%,10 February 2027 (speculative),Cross-Regional panel (multi-region projects). Indicatively 10% of total CBHE budget.
Capacity Building HE (CBHE),Cross-Regional - Strand 3 (min),ERASMUS-EDU-2027-CBHE-CROSS-REGIONAL,EACEA,"600,000 €",Min budget-based,36-48 months,90%,10 February 2027 (speculative),Cross-Regional panel (multi-region projects). Indicatively 10% of total CBHE budget.
Capacity Building HE (CBHE),Cross-Regional - Strand 3 (max),ERASMUS-EDU-2027-CBHE-CROSS-REGIONAL,EACEA,"1,000,000 €",Max budget-based,36-48 months,90%,10 February 2027 (speculative),Cross-Regional panel (multi-region projects). Indicatively 10% of total CBHE budget.
Capacity Building HE (CBHE),Region 2 EU-Moldova Master's (Strand 3),ERASMUS-EDU-2027-CBHE-NE,EACEA,"2,000,000 €",Max budget-based,36-48 months,90%,10 February 2027 (speculative),"SPECIAL 2026 ACTION. Master's programme in European Affairs in Moldova. Strand 3, Region 2 only."
"NOTES, KEY DEFINITIONS & DEADLINES 2027 (SPECULATIVE)",,,,,,,,,
⚠ ALL 2027 figures are SPECULATIVE projections based on 2026 call structure. The 2027 Programme Guide is expected late 2026. Verify on F&TP before applying.,,,,,,,,,
KEY DEFINITIONS,,,,,,,,,
• Pre-defined lump sum: applicant chooses between fixed amounts (e.g. 30k or 60k for SSP). Cannot request a value in between.,,,,,,,,,
"• Budget-based lump sum: applicant submits detailed budget; EACEA fixes the lump sum after evaluation, capped at the maximum.",,,,,,,,,
"• EU Funding rate: maximum % of estimated eligible costs that the EU lump sum can represent (80% standard, 90% only for CBHE).",,,,,,,,,
• Manager EACEA = Centralised: applications go to the European Education and Culture Executive Agency via the F&TP.,,,,,,,,,
"• Manager National Agency = Decentralised: applications go to the National Agency in your country (in Spain: SEPIE for EDU/VET, INJUVE for Youth, CSD for Sport).",,,,,,,,,
CO-FINANCING — HOW IT WORKS,,,,,,,,,
ALL Erasmus+ actions are co-financed: the EU grant never covers 100% of the actual project cost.,,,,,,,,,
"• Actions with EXPLICIT % (80% or 90%): for EUR 400.000 EU grant at 80% rate, your total estimated project budget must be ≥ EUR 500.000 (EU grant ÷ 0.80).",,,,,,,,,
"• CBHE (90%): for EUR 800.000 EU grant, your total estimated project budget must be ≥ EUR ~888.889 (EU grant ÷ 0.90).",,,,,,,,,
"• Pre-fixed lump sums (KA210/KA220/EPSD/Sport CP-SSP/Sport Events/EMJM Design): no explicit %, but real project cost expected to be HIGHER than requested lump sum. Difference covered by own funds, in-kind contributions, or third-party resources.",,,,,,,,,
FAMILY-SPECIFIC NOTES,,,,,,,,,
"• CB Sport: range 100k-200k. Funding rate 80%. Eligible only Region 1 (Western Balkans) or Region 2 (Neighbourhood East), not both in same proposal.",,,,,,,,,
"• Not-for-profit Sport Events: 4 categories — Local Type I (200k), Local Type II (300k), European-wide (450k), Large-Scale (1M-1.5M, separate topic SNCESE-LS).",,,,,,,,,
"• CP Sport: 3 fixed amounts (120k, 250k, 400k). SSP Sport: 2 fixed amounts (30k, 60k).",,,,,,,,,
"• CB VET: max 500k per project, no minimum. 36 months. 6 regions in 2027 (WB, NE, SMC, SSA, LA, CA).",,,,,,,,,
"• CB Youth: max 300k for Regions 1-2-3, max 450k for Region 9 (Sub-Saharan Africa). 12-36 months.",,,,,,,,,
• EYT: max 500k per project. 24 months. Min 5 partners from 5 countries.,,,,,,,,,
"• CBHE: 11 regional Topic IDs + 1 Cross-Regional + EU-Moldova special. 3 Strands per region (S1: 200k-400k, S2: 400k-800k, S3: 600k-1M, EU-Moldova: 2M). ONLY action with 90% funding rate. National/regional projects ~90% of CBHE budget; cross-regional ~10%.",,,,,,,,,
"• CP KA220 sectorial: 3 fixed amounts (120k, 250k, 400k). Apply via your National Agency. SSP KA210 sectorial: 2 fixed amounts (30k, 60k).",,,,,,,,,
• EPSD (KA240-SCH): NEW 2027 action. Single lump sum 400k for 3 years.,,,,,,,,,
"• Alliances for Innovation: 3 lots — Lot 1 (1M-1.5M), Lot 2 Blueprint (up to 4M), Lot 3 STEM Foundries (up to 1.5M).",,,,,,,,,
"• CoVE: max 4M per project, 48 months. Teacher Academies: max 1.5M, 36 months.",,,,,,,,,
"• European Universities: indicative ~6.4M per alliance for 2027 call (24-month support, 145.6M total for ~22-24 alliances). Verify exact ceiling in call document.",,,,,,,,,
DEADLINES 2027 (SPECULATIVE — based on 2026 dates +1 year),,,,,,,,,
• CB Youth & EYT: 26 February 2027 (17:00 Brussels),,,,,,,,,
• Sport (SCP / SSCP / SNCESE / CB): 5 March 2027 (17:00 Brussels),,,,,,,,,
• KA210 / KA220 (NA-managed): typically 5 March 2027,,,,,,,,,
• Alliances for Innovation: 10 March 2027 (17:00 Brussels),,,,,,,,,
• CB VET (all 6 regions): 26 March 2027 (17:00 Brussels),,,,,,,,,
• Teacher Academies: 26 March 2027,,,,,,,,,
• EPSD (KA240-SCH): 9 April 2027,,,,,,,,,
• CBHE: 10 February 2027 (17:00 Brussels),,,,,,,,,
• CoVE: 3 September 2027 (17:00 Brussels),,,,,,,,,
• Always verify exact deadlines in the call document on the F&TP before applying.,,,,,,,,,
VERIFICATION & SOURCES,,,,,,,,,
• Source: Erasmus+ Programme Guide 2027 (expected late 2026 (speculative)) and EU Funding & Tenders Portal (F&TP) topic pages.,,,,,,,,,
"• Codes confirmed by Commission/EACEA: CB-VET (6 topics), EYT, SPORT-SCP/SSCP/SNCESE/CB, EUR-UNIV, EMJM-MOB/DESIGN, PCOOP-ENGO, PI-ALL-INNO-EDU-ENTERP, CBHE-CROSS-REGIONAL.",,,,,,,,,
"• Codes derived by continuity (CBY by region, Teacher Academies, CoVE, Blueprint, STEM Foundries, ENGO Youth, CBHE per region): follow consistent 2024->2025->2027 pattern but VERIFY in F&TP before official use.",,,,,,,,,
• KA210 / KA220 / KA240 decentralised: no F&TP topic ID — apply via your National Agency. Final project codes follow pattern 'YYYY-KASECTOR-XXXXXX'.,,,,,,,,,